1.480610010230792999e+09 4.720495343208312988e-01 5.586409568786621094e-01
1.480610010248161077e+09 4.720595479011535645e-01 5.586509704589843750e-01
1.480610010296392918e+09 4.720695316791534424e-01 5.586609840393066406e-01
1.480610010349103928e+09 4.720795452594757080e-01 5.586709380149841309e-01
1.480610010395726919e+09 4.720895290374755859e-01 5.586809515953063965e-01
1.480610010447041035e+09 4.720995426177978516e-01 5.586909651756286621e-01
1.480610010499202967e+09 4.721095263957977295e-01 5.587009787559509277e-01
1.480610010550353050e+09 4.721195399761199951e-01 5.587109923362731934e-01
1.480610010598051071e+09 4.721295535564422607e-01 5.587209463119506836e-01
1.480610010648869038e+09 4.721395373344421387e-01 5.587309598922729492e-01
1.480610010696019888e+09 4.721495509147644043e-01 5.587409734725952148e-01
1.480610010749841928e+09 4.721595346927642822e-01 5.587509870529174805e-01
1.480610010799633980e+09 4.721695482730865479e-01 5.587609410285949707e-01
1.480610010849453926e+09 4.721795320510864258e-01 5.587709546089172363e-01
1.480610010943322897e+09 4.721895456314086914e-01 5.587809681892395020e-01
1.480610011050832033e+09 4.721995294094085693e-01 5.587909817695617676e-01
1.480610011157429934e+09 4.722095429897308350e-01 5.588009953498840332e-01
1.480610011247998953e+09 4.722195267677307129e-01 5.588109493255615234e-01
1.480610011300286055e+09 4.722295403480529785e-01 5.588209629058837891e-01
1.480610011340452909e+09 4.722395539283752441e-01 5.588309764862060547e-01
1.480610011421472073e+09 4.722495377063751221e-01 5.588409900665283203e-01
1.480610011460098028e+09 4.722595512866973877e-01 5.588509440422058105e-01
1.480610011481959105e+09 4.722695350646972656e-01 5.588609576225280762e-01
1.480610011507482052e+09 4.722795486450195312e-01 5.588709712028503418e-01
1.480610011548650980e+09 4.722895324230194092e-01 5.588809847831726074e-01
1.480610011595560074e+09 4.722995460033416748e-01 5.588909387588500977e-01
1.480610011651225090e+09 4.723095297813415527e-01 5.589009523391723633e-01
1.480610011700723886e+09 4.723195433616638184e-01 5.589109659194946289e-01
1.480610011749058962e+09 4.723295271396636963e-01 5.589209794998168945e-01
1.480610011798832893e+09 4.723395407199859619e-01 5.589309930801391602e-01
1.480610011847419024e+09 4.723495543003082275e-01 5.589409470558166504e-01
1.480610011893414974e+09 4.723595380783081055e-01 5.589509606361389160e-01
1.480610011946702003e+09 4.843978583812713623e-01 5.750215649604797363e-01
1.480610011998178959e+09 4.844078421592712402e-01 5.750315785408020020e-01
1.480610012048456907e+09 5.946893095970153809e-01 5.053904056549072266e-01
1.480610012099427938e+09 5.980257391929626465e-01 5.026400685310363770e-01
1.480610012144515991e+09 5.980357527732849121e-01 5.026500821113586426e-01
1.480610012202241898e+09 5.991789698600769043e-01 5.004438757896423340e-01
1.480610012248655081e+09 5.991889238357543945e-01 5.004538893699645996e-01
1.480610012330123901e+09 5.991989374160766602e-01 5.004639029502868652e-01
1.480610012349421024e+09 5.992089509963989258e-01 5.004739165306091309e-01
1.480610012394345045e+09 5.992189645767211914e-01 5.004838705062866211e-01
1.480610012444770098e+09 5.992289185523986816e-01 5.004938840866088867e-01
1.480610012498158932e+09 5.992389321327209473e-01 5.005038976669311523e-01
1.480610012549665928e+09 5.992489457130432129e-01 5.005139112472534180e-01
1.480610012639055014e+09 5.992589592933654785e-01 5.005239248275756836e-01
